"","V1"
"1","Comunidades y Ciudades Autónomas;Periodo año mes;Total Nacimientos"
"509","08 Castilla - La Mancha;1978M09;2.079"
"510","08 Castilla - La Mancha;1978M08;2.119"
"511","08 Castilla - La Mancha;1978M07;2.212"
"512","08 Castilla - La Mancha;1978M06;2.257"
"513","08 Castilla - La Mancha;1978M05;2.406"
"514","08 Castilla - La Mancha;1978M04;2.219"
"515","08 Castilla - La Mancha;1978M03;2.186"
"516","08 Castilla - La Mancha;1978M02;1.901"
"517","08 Castilla - La Mancha;1978M01;2.015"
"518","08 Castilla - La Mancha;1977M12;1.783"
"519","08 Castilla - La Mancha;1977M11;1.769"
"520","08 Castilla - La Mancha;1977M10;1.954"
"521","08 Castilla - La Mancha;1977M09;2.061"
"522","08 Castilla - La Mancha;1977M08;2.082"
"523","08 Castilla - La Mancha;1977M07;2.285"
"524","08 Castilla - La Mancha;1977M06;2.292"
"525","08 Castilla - La Mancha;1977M05;2.364"
"526","08 Castilla - La Mancha;1977M04;2.204"
"527","08 Castilla - La Mancha;1977M03;2.206"
"528","08 Castilla - La Mancha;1977M02;1.946"
"529","08 Castilla - La Mancha;1977M01;1.994"
"530","08 Castilla - La Mancha;1976M12;1.985"
"531","08 Castilla - La Mancha;1976M11;1.943"
